name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
OSIRIS ACQUISITION CORP,68829A103,1452,150000,,
BLUE WHALE ACQUISITION CORP I,G1330M103,1451,150000,,
TPB ACQUISITION CORP I,G8990L101,1450,148000,,
OMNILIT ACQUISITION CORP,68218C207,1407,140000,,
ZILLOW GROUP INC,98954MAH4,1292,1000000,,
SEMPER PARATUS ACQUISITION CORP,G8028L123,1266,125000,,
SHOPIFY INC,82509LAA5,1266,1011000,,SHOP
INFRASTRUCTURE AND ENERGY ALTERNATIVES INC,45686J104,1187,129079,,
BEL FUSE INC,077347201,1074,71613,,
OCA ACQUISITION CORP,670865104,1030,103920,,
INTEGRATED WELLNESS ACQUISITION CORP,G4828B126,1008,100000,,
INNOVATIVE INTERNATIONAL ACQUISITION CORP,G4809M117,1006,100000,,
TLGY ACQUISITION CORP,G8656T117,1006,100000,,
INTEGRATED RAIL AND RESOURCES ACQUISITION CORP,45827R205,1005,100000,,
LAMF GLOBAL VENTURES CORP I,G5338L116,1004,100000,,
ATHENA CONSUMER ACQUISITION CORP,04684M106,1000,100000,,
BIOPLUS ACQUISITION CORP,G11217109,1000,100000,,
AVISTA PUBLIC ACQUISITION CORP II,G07247102,998,100000,,
MOTIVE CAPITAL CORP II,G6293R122,997,100000,,
ARBOR RAPHA CAPITAL BIOHOLDINGS CORP I,03881F104,995,100000,,
LEGATO MERGER CORP II,52473Y104,993,100000,,
PYROPHYTE ACQUISITION CORP,G7308P101,991,100000,,
RIVERVIEW ACQUISITION CORP,769395104,991,100000,,
ARGUS CAPITAL CORP,04026L105,990,100000,,
INTELLIGENT MEDICINE ACQUISITION CORP,45828D106,990,100000,,
TRINE II ACQUISITION CORP,G9059F100,985,100000,,
WORLD QUANTUM GROWTH ACQUISITION CORP,G5596W101,981,100000,,
GOOD WORKS II ACQUISITION CORP,38216G104,980,100000,,
MARBLEGATE ACQUISITION CORP,56608A105,977,100000,,
8I ACQUISITION 2 CORP,G2956R103,975,100000,,
ALPHA PARTNERS TECHNOLOGY MERGER CORP,G63290111,971,100000,,
WAVERLEY CAPITAL ACQUISITION CORP 1,G06536109,970,100000,,
HEALTHWELL ACQUISITION CORP I,42227R109,969,100000,,
LOGISTICS INNOVATION TECHNOLOGIES CORP,54141L100,969,100000,,
GRAF ACQUISITION CORP IV,384272100,967,100000,,
IQIYI INC,46267XAE8,850,1217000,,
LIMELIGHT NETWORKS INC,53261MAB0,779,812000,,
ALSP ORCHID ACQUISITION CORP I,G0231L115,757,75000,,
PROOF ACQUISITION CORP I,74349W203,750,75000,,
ESGEN ACQUISITION CORP,G3R95N103,744,75000,,
PARSEC CAPITAL ACQUISITIONS CORP,70184A108,743,75000,,
CHAVANT CAPITAL ACQUISITION CORP,G2058L103,738,75000,,
CORSAIR PARTNERING CORP,G2540H108,732,75000,,
MOUNTAIN CREST ACQUISITION CORP V,62404B107,732,75000,,
SORRENTO THERAPEUTICS INC,83587F202,697,150000,,
CIIG CAPITAL PARTNERS II INC,12561U109,690,69921,,
ARENA FORTIFY ACQUISITION CORP,04005A203,506,50000,,
GREEN VISOR FINANCIAL TECHNOLOGY ACQUISITION CORP I,G4166K118,506,50000,,
LF CAPITAL ACQUISITION CORP II,50202D201,504,50000,,
VAHANNA TECH EDGE ACQUISITION I CORP,G9320Z125,503,50000,,
BUILD ACQUISITION CORP,12008J105,496,51000,,
NOBLE CORP,G6610J209,495,19979,,
SEAPORT GLOBAL ACQUISITION II CORP,81221H105,494,50000,,
10X CAPITAL VENTURE ACQUISITION CORP II,G87076108,489,50000,,
SHELTER ACQUISITION CORP I,822821104,486,50000,,
COLOMBIER ACQUISITION CORP,19533H108,482,50000,,
EMERGING MARKETS HORIZON CORP,G3033X113,400,40000,,
SIZZLE ACQUISITION CORP,83014E208,254,25000,,
CONCORD ACQUISITION CORP III,20607V106,247,25000,,
TKB CRITICAL TECHNOLOGIES 1,G88935112,246,25000,,
DIGITAL HEALTH ACQUISITION CORP,253893119,195,500000,CALL,
DEEP MEDICINE ACQUISITION CORP,243733110,136,425000,,
ROC ENERGY ACQUISITION CORP,77118V116,124,400000,,
LIBERTY RESOURCES ACQUISITION CORP,53118A113,123,325000,CALL,
US WELL SERVICES INC,91274U119,112,1500000,CALL,
RIGEL RESOURCE ACQUISITION CORP,G7573M114,105,175000,CALL,
GLOBALINK INVESTMENT INC,37892F117,98,350000,,
JUNIPER II CORP,48203N111,98,125000,CALL,
MOUNTAIN & CO I ACQUISITION CORP,G6301J112,94,150000,CALL,
FAT PROJECTS ACQUISITION CORP,G3400W110,78,210000,CALL,
7 ACQUISITION CORP,G80694113,75,125000,CALL,
MERCATO PARTNERS ACQUISITION CORP,58759A116,75,125000,CALL,
GLOBALINK INVESTMENT INC,37892F125,70,350000,CALL,
ACCRETION ACQUISITION CORP,00438Y115,69,175000,CALL,
ACHARI VENTURES HOLDINGS CORP I,00444X119,66,200000,CALL,
FINNOVATE ACQUISITION CORP,G3R34K111,62,165000,CALL,
WINVEST ACQUISITION CORP,97655B117,58,299900,CALL,WINVW
ARISZ ACQUISITION CORP,040450116,55,200000,CALL,
VISION SENSING ACQUISITION CORP,92838J111,45,112500,CALL,
PHOENIX BIOTECH ACQUISITION CORP,71902K113,42,100000,CALL,
IX ACQUISITION CORP,G5000D111,40,100000,CALL,IXQWF
ARISZ ACQUISITION CORP,040450124,35,200000,,
PERCEPTION CAPITAL CORP II,G7007D110,33,75000,CALL,
TRINE II ACQUISITION CORP,G9059F118,30,50000,CALL,
8I ACQUISITION 2 CORP,G2956R129,28,100000,,
PYROPHYTE ACQUISITION CORP,G7308P127,28,50000,CALL,
MOUNTAIN CREST ACQUISITION CORP V,62404B115,26,75000,,
LEGATO MERGER CORP II,52473Y112,25,50000,CALL,
INTELLIGENT MEDICINE ACQUISITION CORP,45828D114,24,50000,CALL,
ARBOR RAPHA CAPITAL BIOHOLDINGS CORP I,03881F112,16,33333,CALL,
CONCORD ACQUISITION CORP III,20607V114,8,12500,CALL,
