week,signal_date,exec_date,n_ranked,n_long,n_short,mean_long,mean_short,factor_return
2021-05-17/2021-05-23,2021-05-21,2021-05-24,481,49,49,0.029862083475128514,0.007276550540776014,0.0225855329343525
2021-05-24/2021-05-30,2021-05-28,2021-06-01,481,49,49,0.0008716024000214397,0.001498500303356407,-0.0006268979033349674
2021-05-31/2021-06-06,2021-06-04,2021-06-07,481,49,49,0.006760903878583993,0.005391392117027586,0.0013695117615564077
2021-06-07/2021-06-13,2021-06-11,2021-06-14,481,49,49,-0.023317489077457704,-0.024845937954885457,0.0015284488774277537
2021-06-14/2021-06-20,2021-06-18,2021-06-21,481,49,49,0.04518345287563782,0.022513008697683273,0.022670444177954545
2021-06-21/2021-06-27,2021-06-25,2021-06-28,481,49,49,0.005274646426210309,0.0010901630470769297,0.004184483379133379
2021-06-28/2021-07-04,2021-07-02,2021-07-06,481,49,49,-0.017386990570716944,0.011220052646512357,-0.028607043217229303
2021-07-05/2021-07-11,2021-07-09,2021-07-12,481,49,49,-0.06760757465741354,-0.019170677684774963,-0.04843689697263858
2021-07-12/2021-07-18,2021-07-16,2021-07-19,481,49,49,0.044371634527099066,0.0324460911811036,0.011925543345995465
2021-07-19/2021-07-25,2021-07-23,2021-07-26,481,49,49,0.017777881296582136,0.009087073962026007,0.00869080733455613
2021-07-26/2021-08-01,2021-07-30,2021-08-02,481,49,49,0.00709883107759972,0.001159953384363019,0.005938877693236701
2021-08-02/2021-08-08,2021-08-06,2021-08-09,481,48,49,-0.00897928409820622,0.004637771024118535,-0.013617055122324754
2021-08-09/2021-08-15,2021-08-13,2021-08-16,481,48,49,-0.02736081789595186,0.014818213245838992,-0.04217903114179085
2021-08-16/2021-08-22,2021-08-20,2021-08-23,481,48,49,0.0613125010874909,-0.006810645958612052,0.06812314704610295
2021-08-23/2021-08-29,2021-08-27,2021-08-30,481,48,49,-0.029457233914310762,0.011346490824940955,-0.040803724739251715
2021-08-30/2021-09-05,2021-09-03,2021-09-07,481,49,49,-0.005809558727169557,-0.00949633794691536,0.0036867792197458026
2021-09-06/2021-09-12,2021-09-10,2021-09-13,481,49,49,-0.013140923594962068,-0.02733579512219833,0.014194871527236263
2021-09-13/2021-09-19,2021-09-17,2021-09-20,481,49,49,0.05671572175394324,0.008952800921900457,0.04776292083204278
2021-09-20/2021-09-26,2021-09-24,2021-09-27,481,49,49,-0.0055222446214513825,-0.019761861211375863,0.014239616589924481
2021-09-27/2021-10-03,2021-10-01,2021-10-04,481,49,49,0.002973170662963964,0.012037082069545265,-0.0090639114065813
2021-10-04/2021-10-10,2021-10-08,2021-10-11,481,49,49,0.024966825960966717,0.005521378483261358,0.01944544747770536
2021-10-11/2021-10-17,2021-10-15,2021-10-18,481,49,49,0.03465638059319101,0.02136611841517642,0.01329026217801459
2021-10-18/2021-10-24,2021-10-22,2021-10-25,481,49,49,0.016782916620589224,-0.00354694726203905,0.020329863882628273
2021-10-25/2021-10-31,2021-10-29,2021-11-01,481,49,49,0.025924625491129054,0.01740494580503476,0.008519679686094295
2021-11-01/2021-11-07,2021-11-05,2021-11-08,481,49,49,-0.0003587187234048037,0.013120772271899441,-0.013479490995304245
2021-11-08/2021-11-14,2021-11-12,2021-11-15,481,49,49,-0.01933969096424115,-0.001213425207531028,-0.01812626575671012
2021-11-15/2021-11-21,2021-11-19,2021-11-22,481,49,49,-0.009825894267628704,-0.023076953447067762,0.013251059179439058
